year,state,FIPS,county_name,perc_republican_votes,perc_democratic_votes,total_votes
2000,AL,01023,CHOCTAW,0.4882017900732303,0.5027122321670735,7374
2000,AL,01025,CLARKE,0.5569196428571429,0.43517485119047616,10752
2000,AL,01027,CLAY,0.6321604623491416,0.34761176270610233,5883
2000,AL,01029,CLEBURNE,0.6545561665357423,0.3267871170463472,5092
2000,AL,01031,COFFEE,0.6439030711416354,0.3382143319942983,15434
2000,AL,01033,COLBERT,0.4884822589634033,0.4896433215678989,21532
2000,AL,01035,CONECUH,0.4862186993334534,0.5013511079084849,5551
2000,AL,01037,COOSA,0.52156776877600175,0.46069629954017954,4567
2000,AL,01039,COVINGTON,0.6582678322192023,0.3261588187761698,13613
2000,AL,01041,CRENSHAW,0.5824817518248175,0.4033368091762252,4795
2000,AL,01043,CULLMAN,0.648839966130398,0.3304995766299746,29525
2000,AL,01045,DALE,0.6701885359989878,0.3103884600784512,15806
2000,AL,01047,DALLAS,0.3986135181975737,0.5939666377816292,18464
2000,AL,01049,DEKALB,0.6323391668720729,0.3478432339166872,20285
2000,AL,01051,ELMORE,0.7047975130230213,0.2794488321290539,23804
2000,AL,01053,ESCAMBIA,0.5981989708404802,0.3879073756432247,11660
2000,AL,01055,ETOWAH,0.5359103385178408,0.4430466605672461,39348
2000,AL,01057,FAYETTE,0.5868340163934426,0.39241803278688525,7808
2000,AL,01059,FRANKLIN,0.551112311987751,0.43168513014500587,11103
2000,AL,01061,GENEVA,0.6891934302751334,0.28967465216026783,9559
2000,AL,01063,GREENE,0.19335759781619655,0.7970882620564149,4396
2000,AL,01065,HALE,0.3859785280041392,0.6017332815935843,7731
2000,AL,01067,HENRY,0.5848240046162724,0.4013271783035199,6932
2000,AL,01069,HOUSTON,0.6909567333187759,0.29360202139938235,32057
2000,AL,01071,JACKSON,0.47330503741762536,0.506310733832235,17906
2000,AL,01073,JEFFERSON,0.5058791728611974,0.4744578339658756,273763
2000,AL,01075,LAMAR,0.6166367774865499,0.3659815146916816,7249
2000,AL,01077,LAUDERDALE,0.5438591032143635,0.4317453402620033,32137
2000,AL,01079,LAWRENCE,0.4654082888797702,0.5167008617152237,12185
2000,AL,01081,LEE,0.5862690779845285,0.38088020071085094,38264
2000,AL,01083,LIMESTONE,0.600998561394601,0.3804688161123805,23634
2000,AL,01085,LOWNDES,0.2623738587217684,0.7299375300336377,6243
2000,AL,01087,MACON,0.12354206771600046,0.8679651228626429,8831
